fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-12-03-2021-12-09;424477.00;96665.00;22.77;85537.00;159.00;0.19;2849.00;83417.00;96.70;7644.00;361.00;4.51;2814.00;85635.00;3.29
FR;2021-12-04-2021-12-10;427973.00;99457.00;23.24;88116.00;173.00;0.20;3183.00;85699.00;96.42;7922.00;398.00;4.78;3138.00;88223.00;3.56
FR;2021-12-05-2021-12-11;429920.00;101336.00;23.57;89851.00;175.00;0.19;3485.00;87128.00;96.15;8196.00;436.00;5.05;3435.00;89954.00;3.82
FR;2021-12-06-2021-12-12;431324.00;101665.00;23.57;90183.00;175.00;0.19;3601.00;87353.00;96.04;8258.00;450.00;5.17;3547.00;90288.00;3.93
FR;2021-12-07-2021-12-13;438943.00;108318.00;24.68;95836.00;205.00;0.21;4816.00;91811.00;95.02;8616.00;627.00;6.78;4742.00;95945.00;4.94
FR;2021-12-08-2021-12-14;444937.00;115960.00;26.06;102165.00;248.00;0.24;6550.00;96641.00;93.65;8997.00;877.00;8.88;6406.00;102280.00;6.26
FR;2021-12-09-2021-12-15;452351.00;123638.00;27.33;108734.00;287.00;0.26;8781.00;101339.00;92.03;9998.00;1162.00;10.41;8553.00;108869.00;7.86
FR;2021-12-10-2021-12-16;459642.00;130326.00;28.35;114507.00;285.00;0.25;11225.00;104937.00;90.34;11026.00;1415.00;11.37;10920.00;114618.00;9.53
FR;2021-12-11-2021-12-17;469415.00;138029.00;29.40;121209.00;390.00;0.32;14222.00;109015.00;88.46;12118.00;1745.00;12.59;13766.00;121379.00;11.34
FR;2021-12-12-2021-12-18;477166.00;143354.00;30.04;126047.00;453.00;0.36;16396.00;111972.00;87.23;12727.00;2037.00;13.80;15813.00;126273.00;12.52
FR;2021-12-13-2021-12-19;481455.00;145289.00;30.18;127682.00;465.00;0.36;17317.00;112835.00;86.69;13195.00;2314.00;14.92;16661.00;127909.00;13.03
FR;2021-12-14-2021-12-20;499430.00;163166.00;32.67;144141.00;585.00;0.40;26163.00;121296.00;82.26;14904.00;3767.00;20.18;25132.00;144441.00;17.40
FR;2021-12-15-2021-12-21;531516.00;187068.00;35.20;165647.00;763.00;0.46;41551.00;128209.00;75.52;16315.00;6902.00;29.73;40007.00;166068.00;24.09
FR;2021-12-16-2021-12-22;577287.00;215372.00;37.31;191056.00;999.00;0.52;61156.00;134765.00;68.79;18288.00;12089.00;39.80;58959.00;191638.00;30.77
FR;2021-12-17-2021-12-23;639458.00;247189.00;38.66;219819.00;1223.00;0.55;84082.00;141704.00;62.76;22344.00;20538.00;47.89;81154.00;220623.00;36.78
FR;2021-12-18-2021-12-24;691908.00;264991.00;38.30;235893.00;1409.00;0.59;102208.00;140525.00;57.89;26291.00;30071.00;53.35;98461.00;236881.00;41.57
FR;2021-12-19-2021-12-25;661462.00;255211.00;38.58;226862.00;1370.00;0.60;102627.00;131150.00;56.10;25827.00;31560.00;55.00;98656.00;227811.00;43.31
FR;2021-12-20-2021-12-26;684973.00;261934.00;38.24;232530.00;1474.00;0.63;108378.00;131662.00;54.85;26628.00;35325.00;57.02;103785.00;233533.00;44.44
FR;2021-12-21-2021-12-27;856410.00;332236.00;38.79;295738.00;1988.00;0.67;168646.00;136827.00;44.79;38820.00;70266.00;64.41;161958.00;297136.00;54.51
FR;2021-12-22-2021-12-28;1016273.00;392279.00;38.60;350445.00;1994.00;0.57;226478.00;135108.00;37.37;48237.00;109531.00;69.43;218353.00;351771.00;62.07
FR;2021-12-23-2021-12-29;1179158.00;453925.00;38.50;405761.00;1812.00;0.44;286688.00;132286.00;31.57;56141.00;153369.00;73.20;276559.00;406950.00;67.96
FR;2021-12-24-2021-12-30;1340878.00;513104.00;38.27;456954.00;1788.00;0.39;344928.00;127547.00;27.00;61150.00;194460.00;76.08;332444.00;458102.00;72.57
FR;2021-12-25-2021-12-31;1474362.00;552732.00;37.49;491274.00;1677.00;0.34;384906.00;123155.00;24.24;63085.00;223865.00;78.02;371245.00;492328.00;75.41
FR;2021-12-26-2022-01-01;1488927.00;555859.00;37.33;493486.00;1655.00;0.33;388058.00;122524.00;24.00;63078.00;226254.00;78.20;374094.00;494526.00;75.65
FR;2021-12-27-2022-01-02;1528240.00;563991.00;36.90;499724.00;1629.00;0.32;395991.00;121668.00;23.50;63240.00;232335.00;78.60;381258.00;500788.00;76.13
FR;2021-12-28-2022-01-03;1770896.00;602675.00;34.03;528811.00;1483.00;0.28;442844.00;105084.00;19.18;59635.00;269909.00;81.90;426881.00;529872.00;80.56
FR;2021-12-29-2022-01-04;1927082.00;618275.00;32.08;535423.00;1951.00;0.36;463065.00;91500.00;16.50;55108.00;291372.00;84.09;446950.00;537098.00;83.22
FR;2021-12-30-2022-01-05;2027074.00;606455.00;29.92;519283.00;2187.00;0.42;459652.00;77062.00;14.36;49447.00;293716.00;85.59;444983.00;521222.00;85.37
FR;2021-12-31-2022-01-06;2088367.00;574172.00;27.49;484658.00;2077.00;0.43;437464.00;61617.00;12.35;42928.00;286370.00;86.96;425333.00;486511.00;87.43
FR;2022-01-01-2022-01-07;2206783.00;569479.00;25.81;474510.00;2014.00;0.42;433911.00;53138.00;10.91;39059.00;287898.00;88.05;423362.00;476324.00;88.88
FR;2022-01-02-2022-01-08;2456127.00;600605.00;24.45;499274.00;2134.00;0.43;457420.00;54154.00;10.59;40160.00;306911.00;88.43;447133.00;501210.00;89.21
FR;2022-01-03-2022-01-09;2475105.00;592480.00;23.94;491142.00;2068.00;0.42;449944.00;52152.00;10.39;38911.00;303798.00;88.65;440874.00;493009.00;89.43
FR;2022-01-04-2022-01-10;2514683.00;534906.00;21.27;438141.00;1908.00;0.43;408361.00;37384.00;8.39;30748.00;288035.00;90.35;402076.00;439878.00;91.41
FR;2022-01-05-2022-01-11;2517006.00;485760.00;19.30;396433.00;1306.00;0.33;373437.00;28874.00;7.18;25566.00;271233.00;91.39;368535.00;397588.00;92.69
FR;2022-01-06-2022-01-12;2569272.00;455314.00;17.72;372043.00;1213.00;0.32;354135.00;23102.00;6.12;21495.00;270183.00;92.63;349706.00;373119.00;93.73
FR;2022-01-07-2022-01-13;2599689.00;444443.00;17.10;366025.00;1282.00;0.35;351822.00;19592.00;5.27;18982.00;281823.00;93.69;347054.00;367163.00;94.52
FR;2022-01-08-2022-01-14;2648357.00;443252.00;16.74;367573.00;1366.00;0.37;360312.00;16449.00;4.37;16679.00;298570.00;94.71;351680.00;368799.00;95.36
FR;2022-01-09-2022-01-15;2697345.00;447990.00;16.61;371347.00;1358.00;0.36;368983.00;15108.00;3.93;15636.00;308374.00;95.17;356747.00;372554.00;95.76
FR;2022-01-10-2022-01-16;2724621.00;450100.00;16.52;372696.00;1377.00;0.37;373189.00;14835.00;3.82;15338.00;311465.00;95.31;358393.00;373930.00;95.84
FR;2022-01-11-2022-01-17;2838077.00;475824.00;16.77;396393.00;1358.00;0.34;405265.00;12705.00;3.04;13984.00;352477.00;96.18;384207.00;397618.00;96.63
FR;2022-01-12-2022-01-18;2935532.00;501420.00;17.08;418480.00;1438.00;0.34;434069.00;10950.00;2.46;12759.00;389723.00;96.83;407982.00;419732.00;97.20
FR;2022-01-13-2022-01-19;3032850.00;527695.00;17.40;438919.00;1446.00;0.33;460354.00;9792.00;2.08;11967.00;422239.00;97.24;429575.00;440194.00;97.59
FR;2022-01-14-2022-01-20;3120584.00;550311.00;17.63;457836.00;1662.00;0.36;485016.00;8810.00;1.78;11042.00;449636.00;97.60;449491.00;459349.00;97.85
FR;2022-01-15-2022-01-21;3195161.00;566147.00;17.72;471695.00;1505.00;0.32;500764.00;7765.00;1.53;10181.00;471098.00;97.88;464351.00;473058.00;98.16
FR;2022-01-16-2022-01-22;3249090.00;573371.00;17.65;478024.00;1399.00;0.29;508190.00;7274.00;1.41;9727.00;482215.00;98.02;471144.00;479284.00;98.30
FR;2022-01-17-2022-01-23;3259935.00;574770.00;17.63;479303.00;1359.00;0.28;509443.00;7183.00;1.39;9624.00;484602.00;98.05;472497.00;480523.00;98.33
FR;2022-01-18-2022-01-24;3327759.00;590467.00;17.74;493016.00;1304.00;0.26;524410.00;5934.00;1.12;8727.00;507865.00;98.31;487359.00;494176.00;98.62
FR;2022-01-19-2022-01-25;3315111.00;591408.00;17.84;494617.00;1355.00;0.27;526261.00;5187.00;0.98;8111.00;514160.00;98.45;489681.00;495862.00;98.75
FR;2022-01-20-2022-01-26;3282608.00;587083.00;17.88;491704.00;1299.00;0.26;524049.00;4513.00;0.85;7477.00;514719.00;98.57;487375.00;492884.00;98.88
FR;2022-01-21-2022-01-27;3233883.00;578765.00;17.90;485605.00;1017.00;0.21;517757.00;3823.00;0.73;6874.00;511048.00;98.67;481930.00;486510.00;99.06
FR;2022-01-22-2022-01-28;3174227.00;571710.00;18.01;480031.00;992.00;0.21;512298.00;3318.00;0.64;6320.00;508786.00;98.77;476821.00;480914.00;99.15
FR;2022-01-23-2022-01-29;3120064.00;568690.00;18.23;478086.00;1107.00;0.23;510127.00;3014.00;0.59;6095.00;508040.00;98.81;475186.00;479093.00;99.18
FR;2022-01-24-2022-01-30;3094416.00;566914.00;18.32;476865.00;1163.00;0.24;508725.00;2923.00;0.57;6017.00;507163.00;98.83;474050.00;477933.00;99.19
FR;2022-01-25-2022-01-31;2951856.00;545037.00;18.46;457554.00;1047.00;0.23;488765.00;2489.00;0.51;5185.00;488629.00;98.95;455218.00;458519.00;99.28
FR;2022-01-26-2022-02-01;2831171.00;523208.00;18.48;439184.00;899.00;0.20;469962.00;2073.00;0.44;4763.00;470416.00;99.00;437234.00;439997.00;99.37
FR;2022-01-27-2022-02-02;2700587.00;501196.00;18.56;421569.00;880.00;0.21;450935.00;1795.00;0.40;4319.00;451448.00;99.05;419823.00;422300.00;99.41
FR;2022-01-28-2022-02-03;2568678.00;477950.00;18.61;402668.00;926.00;0.23;430426.00;1631.00;0.38;4008.00;431360.00;99.08;401016.00;403382.00;99.41
FR;2022-01-29-2022-02-04;2422913.00;450976.00;18.61;380622.00;958.00;0.25;406242.00;1436.00;0.35;3732.00;407645.00;99.09;379019.00;381222.00;99.42
FR;2022-01-30-2022-02-05;2306213.00;435828.00;18.90;368670.00;970.00;0.26;392583.00;1386.00;0.35;3681.00;394492.00;99.08;367125.00;369287.00;99.41
FR;2022-01-31-2022-02-06;2260080.00;431248.00;19.08;365795.00;932.00;0.25;388682.00;1385.00;0.36;3699.00;390467.00;99.06;364238.00;366370.00;99.42
FR;2022-02-01-2022-02-07;2017034.00;391538.00;19.41;334632.00;857.00;0.26;354452.00;1159.00;0.33;3484.00;356213.00;99.03;333158.00;335054.00;99.43
FR;2022-02-02-2022-02-08;1846471.00;359703.00;19.48;308182.00;884.00;0.29;325478.00;1079.00;0.33;3172.00;328022.00;99.04;306737.00;308584.00;99.40
FR;2022-02-03-2022-02-09;1685543.00;331779.00;19.68;284477.00;852.00;0.30;299924.00;935.00;0.31;3039.00;303015.00;99.01;283245.00;284923.00;99.41
FR;2022-02-04-2022-02-10;1555659.00;306567.00;19.71;262722.00;748.00;0.28;276794.00;820.00;0.30;2881.00;279994.00;98.98;261651.00;263126.00;99.44
FR;2022-02-05-2022-02-11;1429076.00;284518.00;19.91;243715.00;693.00;0.28;256624.00;723.00;0.28;2660.00;259987.00;98.99;242868.00;244213.00;99.45
FR;2022-02-06-2022-02-12;1335278.00;272130.00;20.38;233508.00;557.00;0.24;245321.00;660.00;0.27;2482.00;248378.00;99.01;232694.00;233870.00;99.50
FR;2022-02-07-2022-02-13;1307346.00;269451.00;20.61;231674.00;541.00;0.23;242818.00;629.00;0.26;2429.00;245812.00;99.02;230895.00;232024.00;99.51
FR;2022-02-08-2022-02-14;1148860.00;239912.00;20.88;205629.00;515.00;0.25;215756.00;423.00;0.20;2083.00;218089.00;99.05;205065.00;205969.00;99.56
FR;2022-02-09-2022-02-15;1055914.00;221590.00;20.99;189604.00;455.00;0.24;199095.00;336.00;0.17;1955.00;200903.00;99.04;189131.00;189880.00;99.61
FR;2022-02-10-2022-02-16;969885.00;205774.00;21.22;176132.00;394.00;0.22;185028.00;331.00;0.18;1827.00;186503.00;99.03;175662.00;176348.00;99.61
FR;2022-02-11-2022-02-17;905485.00;192285.00;21.24;164519.00;377.00;0.23;172824.00;297.00;0.17;1782.00;173962.00;98.99;164086.00;164720.00;99.62
FR;2022-02-12-2022-02-18;839723.00;179986.00;21.43;154343.00;419.00;0.27;162242.00;268.00;0.16;1751.00;162991.00;98.94;153931.00;154580.00;99.58
FR;2022-02-13-2022-02-19;796845.00;173928.00;21.83;149408.00;439.00;0.29;157028.00;245.00;0.16;1717.00;157851.00;98.92;149022.00;149666.00;99.57
FR;2022-02-14-2022-02-20;783693.00;172340.00;21.99;148126.00;443.00;0.30;155636.00;240.00;0.15;1728.00;156380.00;98.91;147745.00;148387.00;99.57
FR;2022-02-15-2022-02-21;713143.00;157996.00;22.15;136111.00;431.00;0.32;143126.00;220.00;0.15;1678.00;143379.00;98.84;135817.00;136431.00;99.55
FR;2022-02-16-2022-02-22;670879.00;148915.00;22.20;128493.00;352.00;0.27;135200.00;175.00;0.13;1557.00;135208.00;98.86;128314.00;128818.00;99.61
FR;2022-02-17-2022-02-23;632689.00;141116.00;22.30;122197.00;285.00;0.23;128495.00;135.00;0.10;1481.00;128259.00;98.86;122055.00;122453.00;99.67
FR;2022-02-18-2022-02-24;601579.00;133881.00;22.25;116114.00;305.00;0.26;122131.00;134.00;0.11;1382.00;121803.00;98.88;115975.00;116391.00;99.64
FR;2022-02-19-2022-02-25;569747.00;126661.00;22.23;109937.00;283.00;0.26;115666.00;200.00;0.17;1352.00;115198.00;98.84;109737.00;110199.00;99.58
FR;2022-02-20-2022-02-26;546413.00;121895.00;22.31;106056.00;279.00;0.26;111497.00;206.00;0.18;1351.00;110987.00;98.80;105845.00;106310.00;99.56
FR;2022-02-21-2022-02-27;540597.00;120892.00;22.36;105367.00;287.00;0.27;110622.00;203.00;0.18;1357.00;110126.00;98.78;105158.00;105630.00;99.55
FR;2022-02-22-2022-02-28;512995.00;113191.00;22.06;98586.00;307.00;0.31;103682.00;200.00;0.19;1269.00;103203.00;98.79;98365.00;98851.00;99.51
FR;2022-02-23-2022-03-01;496989.00;108627.00;21.86;94494.00;412.00;0.43;99648.00;201.00;0.20;1286.00;99066.00;98.72;94278.00;94866.00;99.38
FR;2022-02-24-2022-03-02;486036.00;105125.00;21.63;91389.00;494.00;0.54;96441.00;246.00;0.25;1241.00;95900.00;98.72;91146.00;91848.00;99.24
FR;2022-02-25-2022-03-03;481443.00;101749.00;21.13;88336.00;505.00;0.57;93464.00;282.00;0.30;1186.00;92975.00;98.74;88096.00;88805.00;99.20
