reg;semaine;nb_crib;nb_pos;tx_crib;nb_A0;nb_A1;tx_A1;nb_B0;nb_B1;tx_B1;nb_C0;nb_C1;tx_C1
02;2021-11-20-2021-11-26;116.00;609.00;19.00;103.00;0.00;0.00;103.00;0.00;0.00;1.00;102.00;99.00
02;2021-11-21-2021-11-27;118.00;623.00;18.90;106.00;0.00;0.00;106.00;0.00;0.00;1.00;105.00;99.10
02;2021-11-22-2021-11-28;125.00;635.00;19.70;112.00;0.00;0.00;112.00;0.00;0.00;1.00;111.00;99.10
02;2021-11-23-2021-11-29;111.00;673.00;16.50;101.00;0.00;0.00;101.00;0.00;0.00;1.00;100.00;99.00
02;2021-11-24-2021-11-30;102.00;701.00;14.60;93.00;0.00;0.00;93.00;0.00;0.00;1.00;92.00;98.90
02;2021-11-25-2021-12-01;92.00;729.00;12.60;82.00;0.00;0.00;82.00;0.00;0.00;0.00;82.00;100.00
02;2021-11-26-2021-12-02;90.00;765.00;11.80;82.00;0.00;0.00;82.00;0.00;0.00;0.00;82.00;100.00
02;2021-11-27-2021-12-03;87.00;778.00;11.20;80.00;0.00;0.00;80.00;0.00;0.00;0.00;80.00;100.00
02;2021-11-28-2021-12-04;88.00;772.00;11.40;80.00;0.00;0.00;80.00;0.00;0.00;0.00;80.00;100.00
02;2021-11-29-2021-12-05;82.00;764.00;10.70;74.00;0.00;0.00;74.00;0.00;0.00;0.00;74.00;100.00
02;2021-11-30-2021-12-06;84.00;763.00;11.00;75.00;0.00;0.00;75.00;0.00;0.00;0.00;75.00;100.00
02;2021-12-01-2021-12-07;73.00;762.00;9.60;64.00;0.00;0.00;64.00;0.00;0.00;0.00;64.00;100.00
02;2021-12-02-2021-12-08;68.00;748.00;9.10;62.00;0.00;0.00;62.00;0.00;0.00;0.00;62.00;100.00
02;2021-12-03-2021-12-09;78.00;751.00;10.40;69.00;0.00;0.00;69.00;0.00;0.00;0.00;70.00;100.00
02;2021-12-04-2021-12-10;71.00;705.00;10.10;64.00;0.00;0.00;64.00;0.00;0.00;0.00;65.00;100.00
02;2021-12-05-2021-12-11;73.00;725.00;10.10;67.00;0.00;0.00;67.00;0.00;0.00;0.00;68.00;100.00
02;2021-12-06-2021-12-12;75.00;724.00;10.40;68.00;0.00;0.00;68.00;0.00;0.00;0.00;69.00;100.00
02;2021-12-07-2021-12-13;76.00;711.00;10.70;68.00;0.00;0.00;68.00;0.00;0.00;0.00;69.00;100.00
02;2021-12-08-2021-12-14;82.00;718.00;11.40;73.00;0.00;0.00;73.00;0.00;0.00;0.00;74.00;100.00
02;2021-12-09-2021-12-15;77.00;722.00;10.70;68.00;0.00;0.00;68.00;0.00;0.00;1.00;68.00;98.60
02;2021-12-10-2021-12-16;68.00;750.00;9.10;61.00;0.00;0.00;61.00;0.00;0.00;1.00;60.00;98.40
02;2021-12-11-2021-12-17;74.00;825.00;9.00;66.00;0.00;0.00;66.00;0.00;0.00;2.00;64.00;97.00
02;2021-12-12-2021-12-18;76.00;842.00;9.00;68.00;0.00;0.00;68.00;0.00;0.00;3.00;65.00;95.60
02;2021-12-13-2021-12-19;74.00;835.00;8.90;68.00;0.00;0.00;68.00;0.00;0.00;3.00;65.00;95.60
02;2021-12-14-2021-12-20;70.00;845.00;8.30;65.00;0.00;0.00;65.00;0.00;0.00;4.00;61.00;93.80
02;2021-12-15-2021-12-21;86.00;950.00;9.10;81.00;0.00;0.00;81.00;0.00;0.00;4.00;77.00;95.10
02;2021-12-16-2021-12-22;91.00;1009.00;9.00;87.00;0.00;0.00;87.00;0.00;0.00;3.00;84.00;96.60
02;2021-12-17-2021-12-23;106.00;1062.00;10.00;103.00;0.00;0.00;103.00;0.00;0.00;4.00;99.00;96.10
02;2021-12-18-2021-12-24;111.00;1062.00;10.50;107.00;0.00;0.00;107.00;0.00;0.00;3.00;104.00;97.20
02;2021-12-19-2021-12-25;100.00;1025.00;9.80;96.00;0.00;0.00;96.00;0.00;0.00;2.00;94.00;97.90
02;2021-12-20-2021-12-26;104.00;1076.00;9.70;100.00;0.00;0.00;100.00;0.00;0.00;3.00;97.00;97.00
02;2021-12-21-2021-12-27;124.00;1462.00;8.50;117.00;0.00;0.00;117.00;0.00;0.00;14.00;103.00;88.00
02;2021-12-22-2021-12-28;116.00;1809.00;6.40;108.00;0.00;0.00;108.00;0.00;0.00;23.00;85.00;78.70
02;2021-12-23-2021-12-29;118.00;2260.00;5.20;110.00;0.00;0.00;110.00;0.00;0.00;33.00;77.00;70.00
02;2021-12-24-2021-12-30;101.00;2791.00;3.60;92.00;0.00;0.00;92.00;0.00;0.00;35.00;57.00;62.00
02;2021-12-25-2021-12-31;120.00;3304.00;3.60;109.00;0.00;0.00;109.00;0.00;0.00;61.00;48.00;44.00
02;2021-12-26-2022-01-01;129.00;3392.00;3.80;118.00;0.00;0.00;118.00;0.00;0.00;71.00;47.00;39.80
02;2021-12-27-2022-01-02;130.00;3566.00;3.60;119.00;0.00;0.00;119.00;0.00;0.00;75.00;44.00;37.00
02;2021-12-28-2022-01-03;142.00;4467.00;3.20;135.00;0.00;0.00;135.00;0.00;0.00;103.00;32.00;23.70
03;2021-05-31-2021-06-06;428.00;1096.00;39.10;15.00;379.00;96.20;102.00;0.00;0.00;102.00;0.00;0.00
03;2021-06-01-2021-06-07;369.00;1096.00;33.70;10.00;331.00;97.10;155.00;0.00;0.00;154.00;0.00;0.00
03;2021-06-02-2021-06-08;402.00;1134.00;35.40;10.00;364.00;97.30;247.00;0.00;0.00;245.00;1.00;0.40
03;2021-06-03-2021-06-09;421.00;1184.00;35.60;10.00;378.00;97.40;322.00;0.00;0.00;320.00;1.00;0.30
03;2021-06-04-2021-06-10;348.00;1016.00;34.30;10.00;314.00;96.90;321.00;0.00;0.00;319.00;1.00;0.30
03;2021-06-05-2021-06-11;360.00;1043.00;34.50;16.00;321.00;95.30;335.00;0.00;0.00;332.00;1.00;0.30
03;2021-06-06-2021-06-12;358.00;1078.00;33.20;15.00;319.00;95.50;333.00;0.00;0.00;330.00;1.00;0.30
03;2021-06-07-2021-06-13;358.00;1084.00;33.00;15.00;319.00;95.50;333.00;0.00;0.00;330.00;1.00;0.30
03;2021-06-08-2021-06-14;440.00;1073.00;41.00;21.00;388.00;94.90;408.00;0.00;0.00;406.00;2.00;0.50
03;2021-06-09-2021-06-15;438.00;1053.00;41.60;30.00;374.00;92.60;403.00;0.00;0.00;403.00;1.00;0.20
03;2021-06-10-2021-06-16;415.00;1019.00;40.70;38.00;350.00;90.20;387.00;0.00;0.00;387.00;1.00;0.30
